"t","x","y","z","a"
9.887027100E-1,-4.960477352E-3,-8.652657270E-3,-2.087688446E-2,2.313696432E-2
9.936945330E-1,-1.431289315E-2,5.613118410E-3,-2.545452118E-2,2.973715953E-2
9.986863560E-1,-9.393781424E-3,5.618393421E-3,-2.049732208E-2,2.323681748E-2
1.003678179E0,-9.314537048E-3,1.037001610E-2,-3.932285309E-2,4.172031411E-2
1.008670002E0,-4.592955112E-3,2.473694086E-2,-2.000331879E-2,3.214256123E-2
1.013661824E0,4.287609458E-2,1.524376869E-2,-1.509284973E-2,4.794294613E-2
1.018653647E0,5.691623688E-2,-1.316225529E-2,-5.483627319E-3,5.867514937E-2
1.023645470E0,5.221056938E-2,-1.279067993E-2,4.029273987E-3,5.390528821E-2
1.028637293E0,2.396070957E-2,-2.197533846E-2,1.345825195E-2,3.518743596E-2
1.033629116E0,6.931424141E-4,-2.643674612E-2,3.818511963E-3,2.672008655E-2
1.038620991E0,-1.778623462E-2,-3.086307645E-2,-9.860992432E-4,3.563498311E-2
1.043612866E0,-1.727342606E-2,-2.064913511E-3,1.799964905E-2,2.503242860E-2
1.048604741E0,-7.423698902E-3,-2.049714327E-3,3.683471680E-2,3.763122368E-2
1.053596616E0,1.184090972E-2,-1.628017426E-2,3.177070618E-2,3.761155391E-2
1.058588491E0,2.554714680E-3,-2.094280720E-2,3.149414062E-2,3.790789673E-2
1.063580366E0,2.669090033E-2,-2.087211609E-2,2.172183990E-2,4.024782875E-2
1.068572241E0,4.107701778E-2,-2.080202103E-2,1.203250885E-2,4.759019582E-2
1.073564116E0,4.120326042E-2,-2.548310161E-2,1.191711426E-2,4.989102874E-2
1.078555991E0,3.394037485E-3,-1.588177681E-2,1.179981232E-2,2.007450861E-2
1.083547866E0,-5.610734224E-3,-6.410270929E-3,3.067970276E-2,3.184047853E-2
1.088539741E0,-5.199313164E-3,7.678866386E-3,2.091884613E-2,2.288221951E-2
1.093531616E0,-2.393957973E-2,1.695188880E-2,1.599216461E-2,3.340986891E-2
1.098523491E0,-3.318092227E-2,7.203549147E-3,1.111125946E-2,3.572568837E-2
1.103515366E0,-1.385587454E-2,7.035493851E-3,3.476238251E-2,3.807764003E-2
1.108507241E0,1.005339622E-2,1.172542572E-2,4.871654510E-2,5.110634159E-2
1.113499116E0,1.477271318E-2,1.162359118E-2,4.830837250E-2,5.183666444E-2
1.118490991E0,5.259156227E-3,6.774127483E-3,3.365612030E-2,3.473157009E-2
1.123482866E0,7.260143757E-4,-2.883166075E-3,1.912212372E-2,1.935188257E-2
1.128474741E0,8.752048016E-4,1.133444905E-2,1.895809174E-2,2.210531522E-2
1.133466616E0,1.996681094E-2,-3.007531166E-3,9.299278259E-3,2.223050515E-2
